date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,30.0,33.0,5.875277777777778,1
2013-03-25,24.0,24.0,,
2013-03-26,24.0,24.0,,
2013-03-27,30.0,33.0,5.875277777777778,1
2013-03-28,25.0,24.0,5.793611111111111,0
2013-03-29,25.0,40.0,8.345277777777778,0
2013-03-30,26.0,35.0,5.941944444444444,0
2013-03-31,24.0,25.0,5.925277777777778,1
2013-04-01,24.0,30.0,6.477777777777778,0
2013-04-02,24.0,83.0,3.5661111111111112,0
2013-04-03,32.0,25.0,8.894166666666667,0
2013-04-04,31.0,28.0,5.569166666666667,0
2013-04-05,34.0,151.0,9.478333333333332,0
2013-04-06,28.0,33.0,6.647777777777778,0
2013-04-07,27.0,51.0,5.460555555555556,1
2013-04-08,23.0,51.0,4.343333333333334,1
2013-04-09,27.0,51.0,5.8825,0
2013-04-10,23.0,31.0,6.877222222222223,1
2013-04-11,30.0,40.0,4.193888888888889,0
2013-04-12,25.0,55.0,7.913611111111111,1
2013-04-13,28.0,27.0,2.953611111111111,0
2013-04-14,25.0,24.0,1.2608333333333333,0
2013-04-15,26.0,34.0,5.164444444444444,1
2013-04-16,26.0,25.0,4.618055555555555,1
2013-04-17,26.0,26.0,4.3775,0
2013-04-18,24.0,32.0,3.955833333333333,1
2013-04-19,24.0,32.0,6.870833333333334,0
2013-04-20,30.0,44.0,3.1952777777777777,0
2013-04-21,25.0,45.0,2.526666666666667,0
2013-04-22,24.0,24.0,4.837222222222223,2
2013-04-23,27.0,31.0,5.825833333333334,0
2013-04-24,27.0,25.0,1.5566666666666666,1
2013-04-25,25.0,51.0,3.058055555555556,0
2013-04-26,34.0,27.0,5.997777777777777,0
2013-04-27,21.0,137.0,2.988611111111111,0
2013-04-28,24.0,24.0,2.947222222222222,0
2013-04-29,26.0,24.0,5.0713888888888885,1
2013-04-30,24.0,24.0,3.196388888888889,2
2013-05-01,26.0,30.0,4.5925,0
2013-05-02,26.0,30.0,5.527222222222222,0
2013-05-03,32.0,29.0,5.71,0
2013-05-04,23.0,76.0,6.769722222222222,0
2013-05-05,26.0,59.0,1.5638888888888889,0
2013-05-06,30.0,30.0,4.726666666666667,0
2013-05-07,26.0,53.0,4.501388888888889,2
2013-05-08,24.0,29.0,7.158055555555555,1
2013-05-09,26.0,90.0,5.255555555555556,0
2013-05-10,26.0,91.0,5.917222222222223,0
2013-05-11,24.0,30.0,5.143055555555556,0
2013-05-12,24.0,37.0,4.471388888888889,0
2013-05-13,27.0,55.0,8.640555555555554,1
2013-05-14,26.0,23.0,8.42361111111111,1
2013-05-15,24.0,26.0,4.774166666666667,0
2013-05-16,33.0,65.0,5.915,0
2013-05-17,27.0,29.0,5.973611111111111,0
2013-05-18,25.0,69.0,4.493333333333333,0
2013-05-19,25.0,26.0,8.363055555555555,0
2013-05-20,28.0,25.0,5.805,0
2013-05-21,26.0,53.0,5.811388888888889,1
2013-05-22,29.0,32.0,5.9591666666666665,2
2013-05-23,23.0,29.0,2.602777777777778,0
2013-05-24,27.0,28.0,9.090555555555556,0
2013-05-25,26.0,68.0,6.211666666666667,0
2013-05-26,25.0,27.0,10.82388888888889,0
2013-05-27,18.0,20.0,5.163055555555555,0
2013-05-28,25.0,48.0,5.233611111111111,2
2013-05-29,24.0,35.0,5.464722222222222,2
2013-05-30,24.0,31.0,6.110277777777778,0
2013-05-31,24.0,30.0,4.282777777777778,0
2013-06-01,15.0,31.0,1.3983333333333334,0
2013-06-02,25.0,36.0,,0
2013-06-03,13.0,13.0,,0
2013-06-04,,,,0
2013-06-05,,,,0
2013-06-06,,,,
2013-06-07,,,,
2013-06-08,,,,
2013-06-09,,,,
2013-06-10,,,,
2013-06-11,,,,
2013-06-12,,,,
2013-06-13,,,,
2013-06-14,,,,
2013-06-15,,,,
2013-06-16,,,,
2013-06-17,,,,
2013-06-18,,,,
2013-06-19,,,,
2013-06-20,,,,
2013-06-21,,,,
2013-06-22,,,,
2013-06-23,,,,
2013-06-24,,,,
2013-06-25,,,,
2013-06-26,,,,
2013-06-27,,,,
2013-06-28,,,,
2013-06-29,,,,
2013-06-30,,,,
2013-07-01,,,,
2013-07-02,,,,
2013-07-03,,,,
2013-07-04,,,,
2013-07-05,,,,
2013-07-06,,,,
2013-07-07,,,,
2013-07-08,,,,
2013-07-09,,,,
2013-07-10,,,,
2013-07-11,,,,
2013-07-12,,,,
2013-07-13,,,,
2013-07-14,,,,
2013-07-15,,,,
2013-07-16,,,,
2013-07-17,,,,
2013-07-18,,,,
2013-07-19,,,,
2013-07-20,,,,
2013-07-21,,,,
2013-07-22,,,,
2013-07-23,,,,
2013-07-24,,,,
2013-07-25,,,,
2013-07-26,,,,
2013-07-27,,,,
2013-07-28,,,,
2013-07-29,,,,
2013-07-30,,,,
2013-07-31,,,,
2013-08-01,,,,
2013-08-02,,,,
2013-08-03,,,,
2013-08-04,,,,
2013-08-05,,,,
2013-08-06,,,,
2013-08-07,,,,
2013-08-08,,,,
2013-08-09,,,,
2013-08-10,,,,
2013-08-11,,,,
2013-08-12,,,,
2013-08-13,,,,
2013-08-14,,,,
2013-08-15,,,,
2013-08-16,,,,
2013-08-17,,,,
2013-08-18,,,,
2013-08-19,,,,
