UID,AvgExerciseHours
u04,4.083333333333333
u10,1.7
u32,1.36
u07,2.3846153846153846
u46,1.6923076923076923
u14,1.0
u35,1.4
u22,2.2
u12,2.0
u57,2.4375
u59,1.1388888888888888
u44,1.1818181818181819
u30,1.6666666666666667
u03,1.875
u53,1.1904761904761905
u23,1.2941176470588236
u02,2.0
u24,1.8888888888888888
u45,1.1428571428571428
u27,1.0
u58,2.5
u17,1.1904761904761905
u52,1.0
u33,1.1470588235294117
u43,1.0
u16,1.868421052631579
u00,2.0
u49,1.52
u36,2.4583333333333335
u01,1.0
u51,2.142857142857143
u08,1.5161290322580645
u19,2.772727272727273
u42,1.0909090909090908
