day,hours,uid
27/03/13,6,u04
28/03/13,7,u04
28/03/13.1,6,u04
29/03/13,6,u04
30/03/13,7,u04
31/03/13,7,u04
02/04/13,8,u04
03/04/13,8,u04
04/04/13,7,u04
07/04/13,5,u04
05/04/13,6,u04
05/04/13.1,7,u04
08/04/13,8,u04
09/04/13,8,u04
11/04/13,7,u04
16/04/13,6,u04
15/04/13,6,u04
17/04/13,6,u04
18/04/13,6,u04
22/04/13,7,u04
30/04/13,6,u04
02/04/13.1,8,u45
04/04/13.1,6,u45
04/04/13.2,8,u45
05/04/13.2,8,u45
08/04/13.1,8,u45
12/04/13,6,u45
13/04/13,8,u45
06/05/13,8,u45
31/03/13.1,8,u41
04/04/13.3,8,u41
09/04/13.1,6,u41
09/04/13.2,8,u41
28/03/13.2,8,u52
30/03/13.1,10,u52
03/04/13.1,8,u52
04/04/13.4,8,u52
05/04/13.3,6,u52
06/04/13,6,u52
07/04/13.1,6,u52
08/04/13.2,6,u52
09/04/13.3,9,u52
10/04/13,7,u52
11/04/13.1,4,u52
16/04/13.1,9,u52
12/04/13.1,4,u52
13/04/13.1,10,u52
15/04/13.1,9,u52
18/04/13.1,9,u52
23/04/13,7,u52
30/04/13.1,9,u52
16/05/13,1,u52
31/03/13.2,8,u36
30/03/13.2,8,u36
03/04/13.2,7,u36
04/04/13.5,8,u36
05/04/13.4,4,u36
07/04/13.2,8,u36
06/04/13.1,8,u36
08/04/13.3,8,u36
09/04/13.4,8,u36
10/04/13.1,8,u36
17/04/13.1,8,u36
11/04/13.2,8,u36
12/04/13.2,5,u36
15/04/13.2,8,u36
14/04/13,8,u36
29/04/13,7,u36
01/05/13,7,u36
03/05/13,8,u36
08/05/13,10,u36
06/05/13.1,7,u36
09/05/13,10,u36
19/05/13,10,u36
03/04/13.3,7,u43
01/04/13,7,u43
02/04/13.2,8,u43
04/04/13.6,8,u43
05/04/13.5,8,u43
07/04/13.3,8,u43
06/04/13.2,8,u43
08/04/13.4,8,u43
10/04/13.2,8,u43
09/04/13.5,7,u43
12/04/13.3,8,u43
13/04/13.2,9,u43
16/04/13.2,6,u43
14/04/13.1,8,u43
15/04/13.3,7,u43
17/04/13.2,7,u43
18/04/13.2,8,u43
22/04/13.1,8,u43
26/04/13,8,u43
01/05/13.1,8,u43
03/05/13.1,6,u43
31/03/13.3,9,u22
31/03/13.4,8,u22
03/04/13.4,7,u22
27/03/13.1,6,u22
28/03/13.3,8,u22
28/03/13.4,6,u22
29/03/13.1,7,u22
01/04/13.1,8,u22
02/04/13.3,8,u22
04/04/13.7,9,u22
05/04/13.6,8,u22
08/04/13.5,8,u22
09/04/13.6,9,u22
10/04/13.3,8,u22
11/04/13.3,7,u22
14/04/13.2,8,u22
03/04/13.5,9,u50
28/03/13.5,5,u27
29/03/13.2,5,u27
03/04/13.6,5,u27
04/04/13.8,7,u27
05/04/13.7,5,u27
08/04/13.6,3,u27
10/04/13.4,2,u27
18/04/13.3,7,u27
17/04/13.3,3,u27
29/04/13.1,0,u27
03/04/13.7,8,u51
04/04/13.9,7,u51
05/04/13.8,7,u51
06/04/13.3,8,u51
08/04/13.7,6,u51
09/04/13.7,8,u51
13/04/13.3,8,u51
15/04/13.4,8,u51
16/04/13.3,7,u51
17/04/13.4,6,u51
03/05/13.2,6,u51
20/05/13,13,u51
21/05/13,8,u51
01/04/13.2,5,u59
01/04/13.3,9,u59
01/04/13.4,6,u59
27/03/13.2,8,u59
27/03/13.3,5,u59
29/03/13.3,6,u59
28/03/13.6,4,u59
30/03/13.3,10,u59
30/03/13.4,8,u59
31/03/13.5,10,u59
02/04/13.4,4,u59
02/04/13.5,7,u59
03/04/13.8,5,u59
04/04/13.10,5,u59
05/04/13.9,5,u59
05/04/13.10,3,u59
08/04/13.8,4,u59
08/04/13.9,7,u59
07/04/13.4,10,u59
11/04/13.4,5,u59
09/04/13.8,6,u59
10/04/13.5,6,u59
10/04/13.6,7,u59
12/04/13.4,6,u59
12/04/13.5,5,u59
15/04/13.5,4,u59
13/04/13.4,9,u59
13/04/13.5,6,u59
16/04/13.4,4,u59
17/04/13.5,0,u59
18/04/13.4,6,u59
19/04/13,6,u59
20/04/13,7,u59
29/04/13.2,2,u59
22/04/13.2,5,u59
23/04/13.1,0,u59
24/04/13,13,u59
25/04/13,4,u59
30/04/13.2,0,u59
02/05/13,5,u59
03/05/13.3,5,u59
03/05/13.4,8,u59
09/05/13.1,9,u59
09/05/13.2,1,u59
06/05/13.2,3,u59
12/05/13,4,u59
07/05/13,5,u59
11/05/13,5,u59
15/05/13,12,u59
18/05/13,2,u59
18/05/13.1,10,u59
19/05/13.1,10,u59
21/05/13.1,2,u59
23/05/13,2,u59
27/05/13,10,u59
24/05/13,8,u59
30/05/13,10,u59
30/05/13.1,1,u59
26/05/13,16,u59
29/05/13,4,u59
01/06/13,9,u59
06/06/13,15,u59
02/06/13,19,u59
02/06/13.1,1,u59
04/06/13,13,u59
07/06/13,5,u59
01/04/13.5,7,u10
03/04/13.9,8,u10
30/03/13.5,8,u10
30/03/13.6,6,u10
31/03/13.6,8,u10
02/04/13.6,7,u10
04/04/13.11,7,u10
08/04/13.10,8,u10
05/04/13.11,7,u10
07/04/13.5,7,u10
06/04/13.4,8,u10
09/04/13.9,8,u10
10/04/13.7,8,u10
11/04/13.5,8,u10
12/04/13.6,7,u10
13/04/13.6,6,u10
17/04/13.6,8,u10
16/04/13.5,8,u10
15/04/13.6,8,u10
18/04/13.5,8,u10
21/04/13,8,u10
23/04/13.2,6,u10
22/04/13.3,8,u10
27/04/13,8,u10
26/04/13.1,8,u10
29/04/13.3,8,u10
30/04/13.3,7,u10
02/05/13.1,8,u10
08/05/13.1,10,u10
07/05/13.1,5,u10
03/05/13.5,7,u10
30/03/13.7,10,u08
27/03/13.4,6,u08
28/03/13.7,10,u08
29/03/13.4,6,u08
02/04/13.7,8,u08
31/03/13.7,7,u08
01/04/13.6,6,u08
03/04/13.10,6,u08
04/04/13.12,8,u08
05/04/13.12,6,u08
07/04/13.6,6,u08
08/04/13.11,8,u08
15/04/13.7,10,u08
10/04/13.8,6,u08
10/04/13.9,8,u08
12/04/13.7,7,u08
14/04/13.3,8,u08
16/04/13.6,7,u08
16/04/13.7,9,u08
18/04/13.6,5,u08
18/04/13.7,8,u08
20/04/13.1,7,u08
25/04/13.1,9,u08
25/04/13.2,8,u08
21/04/13.1,6,u08
23/04/13.3,0,u08
23/04/13.4,8,u08
27/04/13.1,7,u08
01/05/13.2,6,u08
05/05/13,8,u08
09/05/13.3,1,u08
09/05/13.4,12,u08
07/05/13.2,8,u08
19/05/13.2,9,u08
23/05/13.1,1,u08
03/04/13.11,7,u32
31/03/13.8,7,u32
01/04/13.7,9,u32
04/04/13.13,7,u32
08/04/13.12,7,u32
06/04/13.5,7,u32
05/04/13.13,6,u32
07/04/13.7,10,u32
17/04/13.7,7,u32
09/04/13.10,7,u32
10/04/13.10,7,u32
16/04/13.8,9,u32
11/04/13.6,7,u32
12/04/13.8,7,u32
13/04/13.7,7,u32
14/04/13.4,10,u32
15/04/13.8,8,u32
18/04/13.8,9,u32
20/04/13.2,8,u32
24/04/13.1,8,u32
22/04/13.4,8,u32
23/04/13.5,7,u32
26/04/13.2,9,u32
28/04/13,8,u32
29/04/13.4,6,u32
30/04/13.4,9,u32
10/05/13,9,u32
06/05/13.3,8,u32
08/05/13.2,8,u32
14/05/13,15,u32
18/05/13.2,11,u32
22/05/13,9,u32
27/05/13.1,12,u32
27/03/13.5,7,u05
27/03/13.6,8,u05
28/03/13.8,8,u05
30/03/13.8,5,u05
30/03/13.9,9,u05
31/03/13.9,8,u05
30/03/13.10,9,u07
30/03/13.11,7,u07
27/03/13.7,6,u07
28/03/13.9,7,u07
29/03/13.5,6,u07
31/03/13.10,8,u07
01/04/13.8,7,u07
03/04/13.12,7,u07
04/04/13.14,5,u07
05/04/13.14,7,u07
08/04/13.13,5,u07
11/04/13.7,9,u07
11/04/13.8,8,u07
12/04/13.9,8,u07
13/04/13.8,7,u07
17/04/13.8,6,u07
15/04/13.9,7,u07
23/04/13.6,8,u07
31/03/13.11,7,u03
31/03/13.12,8,u03
31/03/13.13,10,u03
27/03/13.8,8,u03
27/03/13.9,9,u03
04/04/13.15,10,u03
05/04/13.15,4,u03
07/04/13.8,6,u03
08/04/13.14,7,u03
09/04/13.11,8,u03
21/04/13.2,7,u03
23/04/13.7,7,u03
29/04/13.5,7,u03
12/05/13.1,13,u03
08/04/13.15,8,u13
03/04/13.13,8,u30
03/04/13.14,7,u30
29/03/13.6,8,u30
31/03/13.14,6,u30
31/03/13.15,7,u30
06/04/13.6,8,u30
06/04/13.7,4,u30
06/04/13.8,6,u30
07/04/13.9,8,u30
10/04/13.11,9,u30
10/04/13.12,8,u30
11/04/13.9,7,u30
13/04/13.9,4,u30
16/04/13.9,7,u30
15/04/13.10,7,u30
17/04/13.9,7,u30
18/04/13.9,4,u30
19/04/13.1,8,u30
20/04/13.3,6,u30
22/04/13.5,8,u30
26/04/13.3,8,u30
25/04/13.3,7,u30
29/04/13.6,5,u30
03/05/13.6,6,u30
29/03/13.7,7,u14
30/03/13.12,5,u14
01/04/13.9,7,u14
03/04/13.15,6,u14
04/04/13.16,8,u14
05/04/13.16,6,u14
06/04/13.9,8,u14
09/04/13.12,6,u14
10/04/13.13,6,u14
12/04/13.10,7,u14
11/04/13.10,9,u14
15/04/13.11,8,u14
17/04/13.10,8,u14
18/04/13.10,7,u14
29/04/13.7,4,u14
09/05/13.5,8,u14
03/04/13.16,8,u12
03/04/13.17,7,u12
27/03/13.10,6,u12
28/03/13.10,8,u12
29/03/13.8,8,u12
30/03/13.13,7,u12
01/04/13.10,7,u12
04/04/13.17,7,u12
05/04/13.17,8,u12
10/04/13.14,7,u12
10/04/13.15,6,u12
11/04/13.11,8,u12
13/04/13.10,9,u12
15/04/13.12,6,u12
16/04/13.10,6,u12
30/04/13.5,7,u12
27/03/13.11,9,u57
28/03/13.11,7,u57
29/03/13.9,9,u57
31/03/13.16,7,u57
02/04/13.8,7,u57
03/04/13.18,7,u57
04/04/13.18,7,u57
05/04/13.18,7,u57
08/04/13.16,7,u57
08/04/13.17,5,u57
09/04/13.13,9,u57
10/04/13.16,8,u57
11/04/13.12,8,u57
13/04/13.11,9,u57
13/04/13.12,7,u57
14/04/13.5,9,u57
15/04/13.13,8,u57
16/04/13.11,8,u57
17/04/13.11,6,u57
18/04/13.11,10,u57
20/04/13.4,5,u57
21/04/13.3,5,u57
23/04/13.8,8,u57
24/04/13.2,5,u57
29/04/13.8,6,u57
30/04/13.6,5,u57
01/05/13.3,6,u57
02/05/13.2,8,u57
14/05/13.1,10,u57
09/05/13.6,10,u57
15/05/13.1,9,u57
07/05/13.3,7,u57
06/05/13.4,10,u57
08/05/13.3,8,u57
16/05/13.1,11,u57
19/05/13.3,9,u57
17/05/13,12,u57
18/05/13.3,5,u57
20/05/13.1,9,u57
21/05/13.2,9,u57
23/05/13.2,10,u57
03/06/13,7,u57
28/03/13.12,7,u17
30/03/13.14,7,u17
11/04/13.13,4,u17
15/04/13.14,4,u17
16/04/13.12,4,u17
16/04/13.13,5,u17
17/04/13.12,5,u17
18/04/13.12,5,u17
19/04/13.2,5,u17
19/04/13.3,4,u17
20/04/13.5,8,u17
21/04/13.4,6,u17
26/04/13.4,4,u17
29/04/13.9,4,u17
01/05/13.4,5,u17
07/05/13.4,4,u17
08/05/13.4,1,u17
17/05/13.1,9,u17
15/05/13.2,1,u17
18/05/13.4,3,u17
20/05/13.2,2,u17
01/06/13.1,10,u17
03/04/13.19,7,u23
28/03/13.13,8,u23
29/03/13.10,9,u23
30/03/13.15,8,u23
31/03/13.17,8,u23
02/04/13.9,8,u23
01/04/13.11,8,u23
04/04/13.19,8,u23
