day,rate,uid
2013-03-27,2.0,u04
2013-03-28,2.0,u04
2013-03-29,2.0,u04
2013-03-30,3.0,u04
2013-03-31,3.0,u04
2013-04-02,2.0,u04
2013-04-03,2.0,u04
2013-04-04,2.0,u04
2013-04-07,2.0,u04
2013-04-07.1,3.0,u04
2013-04-05,2.0,u04
2013-04-08,2.0,u04
2013-04-09,2.0,u04
2013-04-11,3.0,u04
2013-04-16,2.0,u04
2013-04-15,1.0,u04
2013-04-17,2.0,u04
2013-04-18,2.0,u04
2013-04-22,1.0,u04
2013-04-30,2.0,u04
2013-04-02.1,1.0,u45
2013-04-02.2,2.0,u45
2013-04-04.1,1.0,u45
2013-04-05.1,1.0,u45
2013-04-08.1,1.0,u45
2013-04-12,1.0,u45
2013-04-13,1.0,u45
2013-05-06,1.0,u45
2013-03-31.1,2.0,u41
2013-04-04.2,2.0,u41
2013-04-09.1,2.0,u41
2013-03-28.1,1.0,u52
2013-03-30.1,1.0,u52
2013-04-03.1,1.0,u52
2013-04-04.3,2.0,u52
2013-04-05.2,1.0,u52
2013-04-05.3,2.0,u52
2013-04-06,1.0,u52
2013-04-07.2,1.0,u52
2013-04-08.2,1.0,u52
2013-04-09.2,1.0,u52
2013-04-10,2.0,u52
2013-04-11.1,1.0,u52
2013-04-16.1,1.0,u52
2013-04-12.1,1.0,u52
2013-04-13.1,1.0,u52
2013-04-15.1,1.0,u52
2013-04-18.1,2.0,u52
2013-04-23,1.0,u52
2013-04-30.1,2.0,u52
2013-05-16,2.0,u52
2013-03-31.2,2.0,u36
2013-03-30.2,1.0,u36
2013-04-03.2,2.0,u36
2013-04-04.4,2.0,u36
2013-04-05.4,4.0,u36
2013-04-07.3,2.0,u36
2013-04-06.1,2.0,u36
2013-04-08.3,2.0,u36
2013-04-09.3,2.0,u36
2013-04-10.1,1.0,u36
2013-04-17.1,2.0,u36
2013-04-11.2,1.0,u36
2013-04-12.2,4.0,u36
2013-04-15.2,2.0,u36
2013-04-14,2.0,u36
2013-04-29,2.0,u36
2013-05-01,2.0,u36
2013-05-03,2.0,u36
2013-05-08,1.0,u36
2013-05-06.1,2.0,u36
2013-05-09,1.0,u36
2013-05-19,1.0,u36
2013-04-03.3,3.0,u43
2013-04-01,2.0,u43
2013-04-02.3,2.0,u43
2013-04-04.5,1.0,u43
2013-04-05.5,2.0,u43
2013-04-07.4,2.0,u43
2013-04-06.2,2.0,u43
2013-04-08.4,2.0,u43
2013-04-10.2,3.0,u43
2013-04-09.4,2.0,u43
2013-04-12.3,3.0,u43
2013-04-13.2,2.0,u43
2013-04-16.2,3.0,u43
2013-04-16.3,1.0,u43
2013-04-14.1,3.0,u43
2013-04-15.3,2.0,u43
2013-04-17.2,2.0,u43
2013-04-18.2,2.0,u43
2013-04-22.1,2.0,u43
2013-04-26,2.0,u43
2013-05-01.1,2.0,u43
2013-05-03.1,2.0,u43
2013-03-31.3,1.0,u22
2013-04-03.4,2.0,u22
2013-03-27.1,3.0,u22
2013-03-28.2,2.0,u22
2013-03-28.3,3.0,u22
2013-03-29.1,1.0,u22
2013-04-01.1,2.0,u22
2013-04-02.4,1.0,u22
2013-04-04.6,1.0,u22
2013-04-05.6,1.0,u22
2013-04-08.5,1.0,u22
2013-04-09.5,1.0,u22
2013-04-10.3,2.0,u22
2013-04-11.3,1.0,u22
2013-04-14.2,2.0,u22
2013-04-03.5,2.0,u50
2013-03-28.4,4.0,u27
2013-03-29.2,3.0,u27
2013-04-03.6,2.0,u27
2013-04-04.7,2.0,u27
2013-04-05.7,2.0,u27
2013-04-08.6,3.0,u27
2013-04-10.4,4.0,u27
2013-04-18.3,2.0,u27
2013-04-17.3,4.0,u27
2013-04-29.1,4.0,u27
2013-04-03.7,3.0,u51
2013-04-04.8,3.0,u51
2013-04-05.8,2.0,u51
2013-04-06.3,2.0,u51
2013-04-08.7,3.0,u51
2013-04-09.6,1.0,u51
2013-04-13.3,1.0,u51
2013-04-15.4,1.0,u51
2013-04-16.4,2.0,u51
2013-04-17.4,2.0,u51
2013-05-03.2,1.0,u51
2013-05-20,2.0,u51
2013-05-21,2.0,u51
2013-04-01.2,2.0,u59
2013-03-27.2,2.0,u59
2013-03-29.3,2.0,u59
2013-03-28.5,3.0,u59
2013-03-30.3,1.0,u59
2013-03-30.4,2.0,u59
2013-03-31.4,1.0,u59
2013-04-02.5,3.0,u59
2013-04-02.6,2.0,u59
2013-04-03.8,2.0,u59
2013-04-04.9,2.0,u59
2013-04-05.9,2.0,u59
2013-04-05.10,3.0,u59
2013-04-08.8,3.0,u59
2013-04-08.9,2.0,u59
2013-04-07.5,1.0,u59
2013-04-11.4,2.0,u59
2013-04-09.7,2.0,u59
2013-04-10.5,2.0,u59
2013-04-12.4,3.0,u59
2013-04-15.5,2.0,u59
2013-04-13.4,1.0,u59
2013-04-13.5,2.0,u59
2013-04-16.5,2.0,u59
2013-04-17.5,4.0,u59
2013-04-18.4,3.0,u59
2013-04-19,2.0,u59
2013-04-20,2.0,u59
2013-04-29.2,4.0,u59
2013-04-22.2,3.0,u59
2013-04-23.1,4.0,u59
2013-04-24,1.0,u59
2013-04-25,2.0,u59
2013-04-30.2,4.0,u59
2013-05-02,1.0,u59
2013-05-03.3,2.0,u59
2013-05-03.4,3.0,u59
2013-05-09.1,2.0,u59
2013-05-09.2,3.0,u59
2013-05-06.2,2.0,u59
2013-05-12,3.0,u59
2013-05-07,3.0,u59
2013-05-11,3.0,u59
2013-05-15,1.0,u59
2013-05-18,2.0,u59
2013-05-18.1,1.0,u59
2013-05-19.1,1.0,u59
2013-05-21.1,2.0,u59
2013-05-23,2.0,u59
2013-05-27,1.0,u59
2013-05-24,2.0,u59
2013-05-30,1.0,u59
2013-05-30.1,3.0,u59
2013-05-26,1.0,u59
2013-05-29,2.0,u59
2013-06-01,1.0,u59
2013-06-06,1.0,u59
2013-06-02,1.0,u59
2013-06-02.1,3.0,u59
2013-06-04,1.0,u59
2013-06-07,2.0,u59
