,avg_sleep_rate
u19,1.6545454545454545
u08,1.9024390243902438
u07,2.0
u12,1.6153846153846154
u17,2.675
u27,2.625
u01,1.5925925925925926
u03,1.7142857142857142
u57,1.9508196721311475
u00,1.981818181818182
u51,1.9705882352941178
u43,2.24
u24,2.3043478260869565
u30,1.5294117647058822
u45,1.0909090909090908
u35,1.44
u33,2.292682926829268
u59,2.1232876712328768
u53,2.7096774193548385
u42,1.5714285714285714
u23,1.608695652173913
u44,1.1379310344827587
u10,2.106382978723404
u52,1.2608695652173914
u22,1.55
u32,2.3404255319148937
u58,1.5517241379310345
u14,1.6666666666666667
u36,1.96875
u49,2.024390243902439
u04,2.0588235294117645
u02,2.0
u16,1.9384615384615385
u46,2.347826086956522
