,avg_sleep_social
u19,2.272727272727273
u08,1.146341463414634
u07,1.0416666666666667
u12,1.1153846153846154
u17,2.4
u27,1.375
u01,1.8518518518518519
u03,1.1071428571428572
u57,1.0491803278688525
u00,1.1090909090909091
u51,1.2352941176470589
u43,1.64
u24,1.434782608695652
u30,1.088235294117647
u45,1.3636363636363635
u35,1.16
u33,1.4634146341463414
u59,1.904109589041096
u53,2.193548387096774
u42,1.7142857142857142
u23,1.2608695652173914
u44,2.103448275862069
u10,1.1914893617021276
u52,1.434782608695652
u22,1.0
u32,1.3191489361702127
u58,1.0
u14,1.3666666666666667
u36,1.0
u49,1.6097560975609757
u04,1.0
u02,1.3846153846153846
u16,1.2153846153846153
u46,1.391304347826087
