day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27,1.0,u04,2013-03-27,2013-03-27,24.0,24.0,6.983888888888889,0.0
2013-03-27,1.0,u04,2013-03-27,2013-03-27,24.0,24.0,6.983888888888889,0.0
2013-03-27.1,4.0,u04,2013-03-27,2013-03-27,24.0,24.0,6.983888888888889,0.0
2013-03-27.1,4.0,u04,2013-03-27,2013-03-27,24.0,24.0,6.983888888888889,0.0
2013-03-28,1.0,u04,2013-03-28,2013-03-28,24.0,24.0,7.015555555555555,0.0
2013-03-29,2.0,u04,2013-03-29,2013-03-29,24.0,24.0,7.791944444444445,0.0
2013-03-29.1,1.0,u04,2013-03-29,2013-03-29,24.0,24.0,7.791944444444445,0.0
2013-03-30,1.0,u04,2013-03-30,2013-03-30,24.0,24.0,4.826388888888888,0.0
2013-03-31,1.0,u04,2013-03-31,2013-03-31,24.0,24.0,7.305833333333333,0.0
2013-04-02,3.0,u04,2013-04-02,2013-04-02,24.0,24.0,5.823333333333333,0.0
2013-04-02.1,1.0,u04,2013-04-02,2013-04-02,24.0,24.0,5.823333333333333,0.0
2013-04-03,2.0,u04,2013-04-03,2013-04-03,24.0,24.0,8.071944444444444,0.0
2013-04-04,1.0,u04,2013-04-04,2013-04-04,24.0,24.0,6.676111111111111,0.0
2013-04-07,1.0,u04,2013-04-07,2013-04-07,24.0,24.0,7.966111111111111,0.0
2013-04-05,2.0,u04,2013-04-05,2013-04-05,24.0,24.0,6.42,0.0
2013-04-08,1.0,u04,2013-04-08,2013-04-08,24.0,24.0,8.04888888888889,1.0
2013-04-09,1.0,u04,2013-04-09,2013-04-09,24.0,24.0,6.1033333333333335,0.0
2013-04-11,3.0,u04,2013-04-11,2013-04-11,18.0,18.0,8.083333333333334,0.0
2013-04-16,2.0,u04,2013-04-16,2013-04-16,24.0,24.0,9.583055555555555,0.0
2013-04-16.1,3.0,u04,2013-04-16,2013-04-16,24.0,24.0,9.583055555555555,0.0
2013-04-15,2.0,u04,2013-04-15,2013-04-15,24.0,24.0,7.128888888888889,1.0
2013-04-15.1,3.0,u04,2013-04-15,2013-04-15,24.0,24.0,7.128888888888889,1.0
2013-04-17,1.0,u04,2013-04-17,2013-04-17,24.0,24.0,8.444166666666666,0.0
2013-04-18,1.0,u04,2013-04-18,2013-04-18,24.0,24.0,5.831666666666667,0.0
2013-04-22,1.0,u04,2013-04-22,2013-04-22,24.0,24.0,8.814166666666667,1.0
2013-04-30,3.0,u04,2013-04-30,2013-04-30,24.0,24.0,6.131388888888889,1.0
2013-04-02.2,1.0,u45,2013-04-02,2013-04-02,24.0,24.0,11.876944444444444,1.0
2013-04-02.3,5.0,u45,2013-04-02,2013-04-02,24.0,24.0,11.876944444444444,1.0
2013-04-04.1,4.0,u45,2013-04-04,2013-04-04,22.0,22.0,6.579166666666667,0.0
2013-04-05.1,5.0,u45,2013-04-05,2013-04-05,23.0,23.0,7.009444444444444,0.0
2013-04-08.1,4.0,u45,2013-04-08,2013-04-08,24.0,24.0,6.035,1.0
2013-04-08.2,5.0,u45,2013-04-08,2013-04-08,24.0,24.0,6.035,1.0
2013-04-12,5.0,u45,2013-04-12,2013-04-12,24.0,24.0,8.841388888888888,0.0
2013-04-13,5.0,u45,2013-04-13,2013-04-13,24.0,24.0,8.706944444444444,0.0
2013-05-06,1.0,u45,2013-05-06,2013-05-06,24.0,24.0,5.4238888888888885,0.0
2013-03-31.1,2.0,u41,2013-03-31,2013-03-31,24.0,24.0,2.8738888888888887,1.0
2013-04-04.2,2.0,u41,2013-04-04,2013-04-04,24.0,24.0,3.5441666666666665,0.0
2013-04-09.1,1.0,u41,2013-04-09,2013-04-09,23.0,23.0,3.481388888888889,0.0
2013-03-28.1,1.0,u52,2013-03-28,2013-03-28,24.0,24.0,5.341111111111111,0.0
2013-03-30.1,2.0,u52,2013-03-30,2013-03-30,24.0,24.0,4.733055555555556,0.0
2013-04-03.1,1.0,u52,2013-04-03,2013-04-03,24.0,24.0,2.036111111111111,0.0
2013-04-03.2,5.0,u52,2013-04-03,2013-04-03,24.0,24.0,2.036111111111111,0.0
2013-04-04.3,5.0,u52,2013-04-04,2013-04-04,23.0,23.0,2.9375,0.0
2013-04-05.2,1.0,u52,2013-04-05,2013-04-05,24.0,24.0,2.896111111111111,0.0
2013-04-06,3.0,u52,2013-04-06,2013-04-06,11.0,11.0,0.4183333333333333,0.0
2013-04-07.1,3.0,u52,2013-04-07,2013-04-07,25.0,24.0,2.23,1.0
2013-04-08.3,3.0,u52,2013-04-08,2013-04-08,19.0,19.0,2.323055555555555,1.0
2013-04-09.2,5.0,u52,2013-04-09,2013-04-09,27.0,27.0,1.5583333333333331,0.0
2013-04-10,1.0,u52,2013-04-10,2013-04-10,24.0,24.0,1.7633333333333334,0.0
