Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,uid,type
28.0,32,26.0,24.0,46.0,u00,Post
24.0,34,38.0,23.0,37.0,u01,Post
15.0,27,35.0,26.0,30.0,u02,Post
19.0,26,35.0,24.0,27.0,u03,Post
22.0,27,24.0,37.0,31.0,u04,Post
24.0,34,38.0,19.0,34.0,u05,Post
26.0,37,28.0,23.0,27.0,u07,Post
21.0,43,28.0,16.0,36.0,u09,Post
18.0,12,45.0,25.0,40.0,u10,Post
26.0,35,33.0,18.0,34.0,u14,Post
28.0,31,28.0,20.0,29.0,u15,Post
15.0,30,29.0,32.0,38.0,u16,Post
25.0,34,29.0,34.0,45.0,u17,Post
23.0,18,28.0,31.0,29.0,u18,Post
17.0,33,34.0,32.0,37.0,u19,Post
26.0,39,30.0,20.0,32.0,u20,Post
25.0,32,32.0,34.0,40.0,u23,Post
28.0,28,26.0,25.0,42.0,u24,Post
17.0,33,25.0,26.0,33.0,u27,Post
35.0,37,41.0,16.0,36.0,u30,Post
25.0,27,29.0,27.0,34.0,u31,Post
33.0,38,41.0,12.0,38.0,u32,Post
27.0,35,21.0,30.0,45.0,u33,Post
26.0,38,28.0,24.0,32.0,u34,Post
26.0,33,29.0,19.0,36.0,u35,Post
29.0,39,37.0,18.0,36.0,u36,Post
30.0,39,25.0,17.0,37.0,u42,Post
18.0,38,37.0,18.0,32.0,u43,Post
22.0,30,31.0,26.0,33.0,u44,Post
28.0,33,33.0,20.0,35.0,u45,Post
29.0,30,33.0,15.0,40.0,u47,Post
25.0,39,33.0,17.0,45.0,u49,Post
24.0,34,33.0,18.0,37.0,u51,Post
16.0,26,24.0,38.0,31.0,u52,Post
18.0,34,27.0,35.0,44.0,u53,Post
12.0,36,30.0,19.0,40.0,u56,Post
21.0,38,38.0,30.0,37.0,u58,Post
31.0,37,26.0,24.0,32.0,u59,Post
