uid,type,I lead a purposeful and meaningful life,My social relationships are supportive and rewarding,I am engaged and interested in my daily activities,I actively contribute to the happiness and well-being of others,I am competent and capable in the activities that are important to me,I am a good person and live a good life,I am optimistic about my future,People respect me,total_score
u00,Pre,7,6,4.0,6.0,6.0,7.0,7,4,94.0
u01,Pre,4,6,6.0,6.0,7.0,6.0,4,6,90.0
u02,Pre,6,7,5.0,6.0,5.0,6.0,4,7,92.0
u03,Pre,6,2,2.0,4.0,5.0,6.0,5,4,68.0
u04,Pre,3,5,4.0,3.0,2.0,2.0,3,5,54.0
u05,Pre,6,6,6.0,6.0,6.0,6.0,6,6,96.0
u07,Pre,7,5,6.0,5.0,7.0,7.0,7,5,98.0
u09,Pre,5,4,6.0,6.0,6.0,7.0,7,5,92.0
u10,Pre,6,3,6.0,1.0,7.0,4.0,6,6,78.0
u14,Pre,7,7,7.0,6.0,6.0,7.0,6,6,104.0
u15,Pre,5,6,4.0,4.0,6.0,6.0,6,6,86.0
u16,Pre,6,6,7.0,5.0,3.0,7.0,4,4,84.0
u17,Pre,5,5,5.0,4.0,4.0,7.0,3,4,74.0
u19,Pre,6,6,6.0,5.0,5.0,4.0,5,5,84.0
u20,Pre,7,7,5.0,6.0,4.0,6.0,6,4,90.0
u23,Pre,5,4,5.0,5.0,3.0,4.0,4,5,70.0
u24,Pre,6,5,3.0,3.0,6.0,7.0,7,4,82.0
u27,Pre,4,4,3.0,3.0,4.0,4.0,4,5,62.0
u30,Pre,7,7,6.0,6.0,7.0,7.0,7,5,104.0
u31,Pre,3,2,2.0,1.0,4.0,1.0,1,2,32.0
u32,Pre,7,7,6.0,7.0,7.0,7.0,7,6,108.0
u33,Pre,2,3,2.0,6.0,2.0,5.0,5,6,62.0
u34,Pre,6,6,5.0,6.0,6.0,7.0,7,6,98.0
u35,Pre,7,6,6.0,6.0,5.0,6.0,6,6,96.0
u36,Pre,6,6,6.0,6.0,6.0,5.0,6,5,92.0
u42,Pre,5,6,6.0,6.0,4.0,7.0,6,5,90.0
u43,Pre,6,6,6.0,5.0,6.0,7.0,6,5,94.0
u44,Pre,6,6,6.0,6.0,6.0,6.0,6,6,96.0
u45,Pre,5,7,4.0,5.0,6.0,7.0,7,7,96.0
u46,Pre,5,4,5.0,6.0,7.0,5.0,6,4,84.0
u47,Pre,7,7,4.0,4.0,4.0,7.0,7,7,94.0
u49,Pre,7,6,6.0,5.0,6.0,7.0,7,7,102.0
u51,Pre,5,5,4.0,5.0,5.0,5.0,5,5,78.0
u52,Pre,3,2,4.0,3.0,7.0,5.0,6,4,68.0
u53,Pre,7,7,6.0,6.0,6.0,6.0,6,6,100.0
u56,Pre,5,6,5.0,5.0,6.0,6.0,7,6,92.0
u59,Pre,5,5,4.0,5.0,5.0,6.0,7,6,86.0
