uid,type,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to,total_score
u00,Pre,3,2,1,1,4,3,1,1,4,4,2,2,1,1,4,2,4,3,4,4,102
u01,Pre,3,2,2,3,4,4,1,1,3,4,2,2,1,2,4,4,3,1,4,4,108
u02,Pre,3,2,2,4,4,4,1,4,2,4,2,1,1,1,4,4,1,1,4,4,106
u03,Pre,3,2,1,4,2,2,3,3,2,2,2,2,3,3,3,4,3,3,3,3,106
u04,Pre,3,3,3,3,2,3,1,2,2,3,3,3,3,3,2,2,3,3,2,2,102
u07,Pre,2,1,1,4,3,2,1,3,2,4,3,2,2,4,3,4,1,3,4,4,106
u09,Pre,3,3,2,4,4,4,3,2,2,3,2,2,3,2,4,4,3,1,4,4,118
u10,Pre,2,4,4,2,1,2,4,4,1,2,3,4,4,4,4,1,1,2,2,2,106
u14,Pre,3,1,1,4,4,3,1,1,3,4,2,1,1,1,2,4,1,1,4,4,92
u15,Pre,3,1,1,4,4,4,1,1,3,4,3,2,1,1,4,4,1,1,4,4,102
u16,Pre,3,1,1,4,4,4,2,2,2,4,3,1,2,3,4,4,3,1,4,4,112
u17,Pre,2,3,1,2,1,1,1,4,3,4,4,3,4,4,4,4,3,4,4,4,120
u18,Pre,3,3,4,3,3,2,3,3,2,3,4,3,3,3,3,2,3,3,3,2,116
u19,Pre,2,3,4,2,3,3,3,1,1,3,3,3,4,4,3,2,3,3,3,3,112
u20,Pre,4,2,2,4,4,4,2,2,4,4,2,2,2,2,4,4,2,2,4,4,120
u23,Pre,4,3,2,3,3,3,2,3,3,3,3,3,3,2,2,4,3,3,3,3,116
u24,Pre,3,2,3,3,3,2,4,4,3,3,4,3,3,2,4,3,2,4,3,3,122
u27,Pre,3,3,3,4,4,3,3,2,2,4,3,3,3,3,3,2,2,2,3,3,116
u30,Pre,4,1,1,4,4,4,1,2,4,4,2,1,1,2,4,4,1,1,4,4,106
u31,Pre,2,2,3,4,3,3,1,2,4,4,2,3,1,1,3,2,3,2,2,2,98
u32,Pre,4,3,1,4,4,4,1,1,4,4,2,2,1,2,4,4,1,1,4,4,110
u33,Pre,3,4,3,1,2,2,4,3,3,2,4,3,4,4,1,3,4,4,3,2,118
u34,Pre,4,2,1,4,4,3,3,2,4,4,3,3,3,3,4,4,1,3,4,4,126
u35,Pre,4,2,1,3,4,4,2,2,2,4,2,1,2,2,3,2,2,2,3,3,100
u36,Pre,4,1,1,4,4,4,1,1,3,3,1,3,3,2,4,3,2,2,4,3,106
u42,Pre,4,1,1,4,4,4,1,1,3,4,1,3,2,1,4,3,1,1,4,4,102
u43,Pre,3,3,1,2,4,4,1,2,2,4,3,2,3,2,2,3,3,3,4,4,110
u44,Pre,4,3,1,4,4,4,1,1,4,4,1,2,1,1,4,3,1,1,4,4,104
u45,Pre,4,1,3,3,3,3,2,3,4,3,2,3,4,2,3,2,2,3,2,2,108
u47,Pre,3,2,1,4,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4,100
u49,Pre,4,2,1,3,4,4,1,1,3,4,2,2,2,2,4,3,2,3,4,4,110
u51,Pre,3,2,2,3,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3,3,100
u52,Pre,3,4,4,1,3,4,3,3,1,3,3,4,4,3,1,2,4,4,3,2,118
u53,Pre,3,1,1,4,4,3,1,2,3,4,3,3,1,2,4,3,1,2,4,4,106
u56,Pre,3,2,2,3,2,3,2,2,1,3,2,2,2,2,4,3,1,1,4,4,96
u58,Pre,3,3,1,4,2,3,1,3,1,3,3,1,4,3,2,1,3,1,3,3,96
u59,Pre,3,2,1,4,3,3,2,2,4,4,2,1,2,3,3,3,2,2,4,4,108
