uid,type,"1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and ""stressed""?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",total_score
u00,Post,1,2,2.0,3,2.0,2,3,2,1,1,19.0
u01,Post,1,2,2.0,3,3.0,2,2,3,2,2,22.0
u02,Post,2,2,4.0,3,2.0,4,2,2,3,3,27.0
u03,Post,1,2,4.0,2,1.0,3,1,1,1,2,18.0
u04,Post,2,1,4.0,3,2.0,1,3,2,1,2,21.0
u05,Post,2,1,1.0,3,3.0,0,4,3,0,0,17.0
u07,Post,2,3,4.0,3,1.0,3,1,1,3,3,24.0
u09,Post,1,2,4.0,3,3.0,2,3,2,1,2,23.0
u10,Post,2,1,3.0,4,3.0,2,2,4,2,2,25.0
u14,Post,2,1,3.0,2,3.0,1,4,4,2,2,24.0
u15,Post,1,1,2.0,3,3.0,0,3,2,2,0,17.0
u16,Post,4,4,4.0,2,2.0,2,3,3,2,4,30.0
u17,Post,3,4,4.0,2,1.0,4,1,0,4,3,26.0
u18,Post,3,3,4.0,2,2.0,2,3,2,2,3,26.0
u19,Post,3,3,4.0,3,3.0,2,2,3,2,2,27.0
u20,Post,2,2,3.0,2,3.0,2,4,2,2,2,24.0
u23,Post,3,2,3.0,3,2.0,2,2,2,3,2,24.0
u24,Post,1,1,2.0,2,3.0,1,3,2,2,1,18.0
u27,Post,2,2,4.0,2,2.0,3,2,2,2,2,23.0
u30,Post,1,1,2.0,3,3.0,2,3,3,1,1,20.0
u31,Post,3,2,1.0,1,1.0,2,2,0,1,0,13.0
u32,Post,1,3,2.0,4,3.0,1,4,4,0,0,22.0
u33,Post,3,4,4.0,1,1.0,4,1,1,2,4,25.0
u34,Post,1,1,2.0,3,3.0,2,3,2,1,2,20.0
u35,Post,1,2,2.0,2,2.0,1,3,2,1,2,18.0
u36,Post,2,1,2.0,3,2.0,2,1,1,1,1,16.0
u42,Post,1,2,1.0,2,2.0,1,2,2,1,1,15.0
u43,Post,1,2,1.0,2,3.0,1,3,3,2,1,19.0
u44,Post,2,2,2.0,2,2.0,2,2,1,2,1,18.0
u45,Post,1,2,1.0,1,2.0,2,1,2,2,2,16.0
u46,Post,3,2,4.0,2,1.0,4,2,2,4,4,28.0
u47,Post,2,2,3.0,1,1.0,3,1,1,4,2,20.0
u49,Post,1,1,2.0,3,4.0,0,3,4,1,1,20.0
u51,Post,1,1,3.0,3,3.0,1,3,3,1,1,20.0
u52,Post,2,4,4.0,1,3.0,3,1,1,2,4,25.0
u53,Post,2,2,3.0,2,2.0,2,3,2,2,2,22.0
u54,Post,4,4,3.0,2,2.0,2,3,0,2,2,24.0
u56,Post,1,2,1.0,3,4.0,1,3,3,0,1,19.0
u59,Post,2,2,2.0,3,3.0,2,3,3,1,0,21.0
